Agency,Year,Number of Complaints
ACS,2016,222
ACS,2017,420
ACS,2018,383
ACS,2019,193
CEO,2018,5
COIB,2017,7
COIB,2018,9
COIB,2019,4
DCA,2012,21444
DCA,2013,19881
DCA,2014,19691
DCA,2015,19462
DCA,2016,18259
DCA,2017,18939
DCA,2018,17345
DCA,2019,14897
DCA,2020,34931
DCA,2021,17665
DCAS,2017,262
DCAS,2018,1166
DCAS,2019,441
DCP,2016,29
DCP,2017,24
DCP,2018,22
DCP,2019,14
DEP,2012,147132
DEP,2013,143781
DEP,2014,164206
DEP,2015,184942
DEP,2016,196524
DEP,2017,183885
DEP,2018,204366
DEP,2019,155752
DEP,2020,141601
DEP,2021,144380
DFTA,2012,10458
DFTA,2013,9501
DFTA,2014,9008
DFTA,2015,9430
DFTA,2016,9118
DFTA,2017,9190
DFTA,2018,8494
DFTA,2019,3612
DFTA,2020,2374
DFTA,2021,147
DHS,2012,4257
DHS,2013,599
DHS,2014,1910
DHS,2015,6462
DHS,2016,45509
DHS,2017,23339
DHS,2018,19760
DHS,2019,21030
DHS,2020,26706
DHS,2021,33771
DOB,2012,108448
DOB,2013,106858
DOB,2014,117832
DOB,2015,121237
DOB,2016,127015
DOB,2017,134379
DOB,2018,137600
DOB,2019,113991
DOB,2020,85710
DOB,2021,71575
DOE,2012,1355
DOE,2013,1304
DOE,2014,1482
DOE,2015,1636
DOE,2016,1747
DOE,2017,2191
DOE,2018,2642
DOE,2019,1529
DOE,2020,1016
DOE,2021,826
DOF,2012,60050
DOF,2013,53636
DOF,2014,53678
DOF,2015,48165
DOF,2016,42541
DOF,2017,51196
DOF,2018,55924
DOF,2019,21936
DOHMH,2012,47470
DOHMH,2013,47842
DOHMH,2014,52848
DOHMH,2015,58587
DOHMH,2016,66504
DOHMH,2017,67564
DOHMH,2018,67131
DOHMH,2019,64305
DOHMH,2020,57186
DOHMH,2021,68932
DOITT,2012,1229
DOITT,2013,430
DOITT,2014,484
DOITT,2015,427
DOITT,2016,352
DOITT,2017,553
DOITT,2018,554
DOITT,2019,474
DOITT,2020,428
DOITT,2021,229
DORIS,2016,67
DOT,2012,274237
DOT,2013,289974
DOT,2014,332943
DOT,2015,343420
DOT,2016,297863
DOT,2017,283776
DOT,2018,294614
DOT,2019,281309
DOT,2020,212325
DOT,2021,199502
DPR,2012,105987
DPR,2013,82410
DPR,2014,90179
DPR,2015,88121
DPR,2016,96745
DPR,2017,99653
DPR,2018,120224
DPR,2019,102788
DPR,2020,151246
DPR,2021,99452
DSNY,2012,111755
DSNY,2013,116678
DSNY,2014,140959
DSNY,2015,154360
DSNY,2016,165562
DSNY,2017,255581
DSNY,2018,408431
DSNY,2019,272621
DSNY,2020,113903
DSNY,2021,172244
DVS,2019,123
EDC,2012,687
EDC,2013,764
EDC,2014,1284
EDC,2015,1503
EDC,2016,1013
EDC,2017,1063
EDC,2018,1033
EDC,2019,3282
EDC,2020,10263
EDC,2021,21121
FDNY,2018,60
FDNY,2019,1
HPD,2012,568204
HPD,2013,581437
HPD,2014,613449
HPD,2015,629833
HPD,2016,597390
HPD,2017,566179
HPD,2018,608179
HPD,2019,448979
HPD,2020,413583
HPD,2021,370421
HRA,2012,3798
HRA,2013,10186
HRA,2014,17122
HRA,2015,22421
HRA,2016,25029
HRA,2017,18321
HRA,2018,12347
HRA,2019,4555
MAYORâS OFFICE OF SPECIAL ENFORCEMENT,2020,54224
MAYORâS OFFICE OF SPECIAL ENFORCEMENT,2021,16225
MOC,2018,2
MOC,2019,1
NYCEM,2012,974
NYCEM,2013,1527
NYCEM,2014,1228
NYCEM,2015,765
NYCEM,2016,463
NYCEM,2017,426
NYCEM,2018,254
NYCEM,2019,44
NYPD,2012,294053
NYPD,2013,349194
NYPD,2014,471079
NYPD,2015,578554
NYPD,2016,669282
NYPD,2017,742398
NYPD,2018,750488
NYPD,2019,838872
NYPD,2020,1266738
NYPD,2021,1150409
OMB,2018,2
TAT,2017,4
TAT,2018,14
TAT,2019,4
TAX,2017,52
TAX,2018,256
TAX,2019,152
TLC,2012,22918
TLC,2013,20700
TLC,2014,21174
TLC,2015,26424
TLC,2016,25590
TLC,2017,26389
TLC,2018,30721
TLC,2019,39197
TLC,2020,15082
TLC,2021,16360
